netuid,uid,hotkey(ss58),coldkey(ss58),block_number,timestamp,trust,stake,validator_trust,incentive,dividends,emission,active,validator_permit,daily_reward,registered_at_block,is_immunity_period,rank
45,30,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,4334147,2024 11 24 07 33,0,1134375493379236,0.91088731212329289693,0,0.21007095445181963836,493047656,True,True,9860953120,3638816,False,1
45,250,5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,5HBtpwxuGNL1gwzwomwR7sjwUt8WXYSuWcLYN6f9KpTZkP4k,4334147,2024 11 24 07 33,0.58219272144655527581,989395031123484,0.7678797589074540322,0.00103761348897535668,0.14674601358052948806,346893487,True,True,6937869740,3907951,False,2
45,217,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,5EJAqczgzCMvWcmXhKMZH4vMS5gPy8BjeuHjz5o5yN6RYzX2,4334147,2024 11 24 07 33,0.49326314183260852979,581544094393544,0.98629739833676661326,0.00077821011673151751,0.11662470435645075151,275601727,True,True,5512034540,3676556,False,4
45,60,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,5E9fVY1jexCNVMjd2rdBsAxeamFGEMfzHcyTn2fHgdHeYc5p,4334147,2024 11 24 07 33,0.65674830243381399252,601350321773614,0.9319752803845273518,0.00086976424811169604,0.10669108110170138094,252485973,True,True,5049719460,3862285,False,3
45,211,5FxcZraZACr4L78jWkcYe3FHdiwiAUzrKLVtsSwkvFobBKqq,5GP8N57T2oja6qR9y3FQDYjrEFxnhmx3ZuiadE64yw6h5For,4334147,2024 11 24 07 33,0.64257267109178301671,505723567435930,0.93196002136263065537,0.00090028229190508888,0.09491111619745174334,224909138,True,True,4498182760,4114791,False,5
45,1,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,4334147,2024 11 24 07 33,0.5800869764248111696,502895502721893,0.7746852826733806363,0.00102235446707866026,0.0740520332646677348,176241945,True,True,3524838900,3633239,False,6
45,81,5HT1drD4JEWTejbqAWV178aK3EUkVBTahdrJfFcwZfhGgYdJ,5F953EH5EVc9BUKYLhktAdzH1waVdgEtwyh5ygTrwCuJkwML,4334147,2024 11 24 07 33,0.52025635156786449989,340957561358431,0.971526665140764477,0.0008392462043183032,0.06598001068131532769,156876461,True,True,3137529220,3880180,False,8
45,3,5F2CsUDVbRbVMXTh9fAzF9GacjVX7UapvRxidrxe7z8BYckQ,5CMEwRYLefRmtJg7zzRyJtcXrQqmspr9B1r1nKySDReA37Z1,4334147,2024 11 24 07 33,0.58005645838101777676,471839271283055,0.70478370336461432822,0.00102235446707866026,0.04980544747081712062,119332185,True,True,2386643700,3633355,False,7
45,47,5Fy3MjrdKRvUWSuJa4Yd5dmBYunzKNmXnLcvP22NfaTvhQCY,5HJvTnicbUEyKHE8pu3tWVhECRiqgDmxKE3AcG4H4djeyRK8,4334147,2024 11 24 07 33,0.60325017166399633783,218030270148224,0.9319752803845273518,0.00096131837949187457,0.03100633249408712902,75092702,True,True,1501854040,3711075,False,9
45,57,5DQ2Geab6G25wiZ4jGH6wJM8fekrm1QhV9hrRuntjBVxxKZm,5DALJz7mndb2b4bAaxtokVSrKpd9PS48qYPyYerb4xFs7KDb,4334147,2024 11 24 07 33,0.59742122529945830472,150956108027028,0.93196002136263065537,0.00099183642328526741,0.02702372777904936294,65785541,True,True,1315710820,3647438,False,11
45,17,5E4z3h9yVhmQyCFWNbY9BPpwhx4xFiPwq3eeqmBgVF6KULde,5DSsZGwBuYHRDA7HzdZUVBhKKpZpJKcf7rTd9y5Gz1SQyo9V,4334147,2024 11 24 07 33,0.58216220340276188296,169052520397402,0.69816128786144808118,0.00103761348897535668,0.0244754711223010605,59917656,True,True,1198353120,3688233,False,10
45,193,5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,5DyMLUKuc6T3QFAXKd3w6dTcxmcH1WBZ1gDrRwJAnPf7N28w,4334147,2024 11 24 07 33,0.57544823376821545739,108658030255216,0.94499122606240939956,0.00100709544518196384,0.02038605325398641947,50235437,True,True,1004708740,3738593,False,12
45,52,5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,5EsutAGoekFjUm8DHAXSpLBGMKDUGALsLCbEb5JCwK6yiwTH,4334147,2024 11 24 07 33,0.57827115281910429541,66537935958636,0.97169451438162813764,0.00102235446707866026,0.0131837949187457084,33380295,True,True,667605900,3704275,False,13
45,50,5F27Eqz2PhyMtGMEce898x31DokNqRVxkm5AhDDe6rDGNvoY,5GYXZBZoFA74nzAGg4R9omd2SfCDHiGufETtrLso6BRzv2p4,4334147,2024 11 24 07 33,0.58736552986953536278,53863118349847,0.93196002136263065537,0.00102235446707866026,0.00968947890440222782,25175408,True,True,503508160,4063585,False,14
45,146,5HbScNssaEfioJHXjcXdpyqo1AKnYjymidGF8opcF9rTFZdT,5F4XcaiEBkE3ARx2kG29KJ8e94nFfUZQYC4c7zfticastxiD,4334147,2024 11 24 07 33,0.57817959868772411688,49227651137624,0.94535744258793011368,0.00102235446707866026,0.00920119020370794232,24029962,True,True,480599240,3820633,False,15
45,225,5Dd18pd6BnhRdN4hUGesLquhaUwbGr5WjqPsysVcxnAvtPkW,5FvZoC1qBhtb4qCBRUUTniXaexSFHDPN65uCkED1mrru1LaY,4334147,2024 11 24 07 33,0.8938277256427862974,384632527,0,0.00627145799954222934,0,14750252,False,False,295005040,4200279,False,183
45,189,5FFCd7bnFsuRhFKsUDik6oxd6NnAMiYV3kgZjwMYS2TdWofn,5F4rc7Jyp1HYYqtqe3uU56uaPEKzU8Xb83jZcBZdsjkhCpLN,4334147,2024 11 24 07 33,0.89898527504386968795,570708469,0,0.00617990386816205081,0,14511631,False,False,290232620,4223037,False,91
45,169,5FHvQciUorAELmTHvYgddQNSRPshm3F7qVycWf6FMrCe598q,5EA8cQHGiNU6sh4gnVwgKagY1fm8dgJqf4p3GjChjD9xd5Dr,4334147,2024 11 24 07 33,0.92838941023880369268,566573251,0,0.00613412680247196155,0,14430263,False,False,288605260,4292156,False,105
45,173,5ECs7Ur3YPxGptvpZqvp1Bz4pUEdKGVXyFw6CLHp9XPMjsmz,5CqnYXq7fC4q6T2niZY77YDzUrXFQtppKkh7zb73cydSMn7p,4334147,2024 11 24 07 33,0.92347600518806744488,342347147,0,0.00604257267109178302,0,14204830,False,False,284096600,4316461,False,217
45,149,5FkEEJbTFYSGuHCbpmiz7LxRM1aui5CfRr7HhUnLvGNnpp9g,5EqCSYasW4UsKKZdytnUiwGVGebh2yS15wAnmAJWFRUTugv8,4334147,2024 11 24 07 33,0.906874189364461738,571220507,0,0.00592050049591821164,0,13899842,False,False,277996840,4220157,False,85
45,235,5CPcGqFKbJ3FLiFe7xavEwfYMmjBd8MPBVSiDrnFp4DGbypK,5FHxVBZmJsyx3TrjiaoGtq3nAWTsDPuLnsWYeQgUfV5wKoiu,4334147,2024 11 24 07 33,0.91523613336385137713,385447303,0,0.00570687418936446174,0,13424214,False,False,268484280,4289993,False,178
45,241,5GTgSBYaighntQ3zkZK9MKgcjiwg7BFLmqpZfzL2sYBxSZyi,5GT9tcxYsu7z4Y5LoEZDgkvhgfYxpfV76b1iU9ZahF6cFt1D,4334147,2024 11 24 07 33,0.93607995727473868925,387070859,0,0.00558480201419089036,0,13141561,False,False,262831220,4290717,False,175
45,110,5CMCTS4t7YCj4KtZoUAce2cWi6rYTTj7rDtM9iirgDp74JkJ,5HY5NVAxTtF83hUrr6WHXL8nx9zFuW9A9jT96MA3z5ZprFSP,4334147,2024 11 24 07 33,0.96589608606088349737,558152270,0,0.00556954299229419394,0,13088176,False,False,261763520,4264073,False,131
45,87,5HYduNSF5WmbtBPnBFP4inJUWk7jPubtmWaw8ZmR5eJJHs3g,5H6EfVRG2c8AMgWpAjipXpjBm6nsp9Bw85quFGex97DznaB1,4334147,2024 11 24 07 33,0.89393453879606317235,587307942,0,0.00550850690470740826,0,12942002,False,True,258840040,3797157,False,40
45,130,5DXMk11jnJfqFyARytHsW4JBrR9zUSAAYkq38JSa2Mj8juP4,5DyJ5Uhn7DBjNvPZQbzdrRtdUaS6uAVc49UBcbrkpWsYw6cR,4334147,2024 11 24 07 33,0.70679789425497825589,548340624,0,0.00547798886091401541,0,12857953,False,False,257159060,3974276,False,156
45,112,5GYPtqgubhs6hiUFCrsFvyYMJqizaGU2yErTvJ3svbFzU8Pv,5CqnYXq7fC4q6T2niZY77YDzUrXFQtppKkh7zb73cydSMn7p,4334147,2024 11 24 07 33,0.79055466544594491493,360377674,0,0.00537117570763714046,0,12613427,False,False,252268540,4243916,False,214
45,255,5G1zukycKpvoYefoNoKrhbrKkL8Ahr9DMJXZad3Kr9RtRgLb,5HYsKEbgKNBPe695rBTxTrJmQxd6vjWYFX5WJhYipkT8cT4X,4334147,2024 11 24 07 33,0.96293583581292439155,707117811,0,0.00532539864194705119,0,12504616,False,True,250092320,4309533,False,25
45,16,5FFHfdqHBqMcSPaQx9weqxZHMBrzSQAGGfQCfCcNM8z7Ut8E,5DArAW4DVYh4MjjTGLpshSUuALNVRpMQGNq7uLResmES1vLn,4334147,2024 11 24 07 33,0.83097581445029373617,393171380,0,0.00527962157625696193,0,12426491,False,False,248529820,4272863,False,167
45,69,5GuLoEmXSohopdNjGJt8TDsuPCDdYMWmZzMCyH4ZGkep82RN,5FvZoC1qBhtb4qCBRUUTniXaexSFHDPN65uCkED1mrru1LaY,4334147,2024 11 24 07 33,0.90534828717479209583,752110902,0,0.00514229037918669413,0,12081244,False,True,241624880,4300255,False,23
45,179,5DAY4UYHaoYvKriUc4bHiopBaSzzE5JfynTEH1DmG1FkfABj,5Hmq5waAX4d8xwKsZNzwmwsvMbiqtjNqWFpJhGQNKhAmtTfk,4334147,2024 11 24 07 33,0.89317158770122835126,558671290,0,0.00512703135728999771,0,12065010,False,False,241300200,4292516,False,129
