netuid,uid,hotkey(ss58),coldkey(ss58),block_number,timestamp,trust,stake,validator_trust,incentive,dividends,emission,active,validator_permit,daily_reward,registered_at_block,is_immunity_period,rank
45,41,5FEofhaYqWhfAEzzyL6VZfavcnnGU4gGY4oYFuiRmi1W8wsy,5EqCQP6XMGawJETH5nTLhQ4GrRk63D4r4RfAaf1psMwdfYPN,4333892,2024 11 24 06 42,0.74065766384374761578,555366950,0,0.00309758144502937362,0,7286170,False,False,145723400,4199276,False,143
45,27,5CmLmmy5EKdDeZikQkCS6oG3DdeK4qsZCrbQqAb16VDuGoCQ,5FYwHPbCABQVqQBxopG7KnyYcHTahU6s1CEigBRYVtDfmp3D,4333892,2024 11 24 06 42,0.79563591973754482338,581801131,0,0.0030823224231326772,0,7266307,False,True,145326140,4303675,False,54
45,142,5GsK7Uxnik8kEVzu418ZvEwzQzDXEEipZwfYFD4BAyj6jiC3,5HQdsGFtz6his7To5GajA5qunyHjPixs1U9w4cYaDTGuo7Bk,4333892,2024 11 24 06 42,0.91908140688181887541,179240460,0,0.00302128633554589151,0,7103016,False,False,142060320,4316235,False,229
45,232,5EF4VhV7Zpqc7AJBpb5eTbXhYnZWR4sv3f5cZmskN9FSSoJb,5G9uTitvo1W7dY5MxJznw3MstBGQmSR3g695UvrYLZmfsrfR,4333892,2024 11 24 06 42,0.89253070878156710155,577498802,0,0.0029449912260624094,0,6936509,False,True,138730180,4203957,False,62
45,118,5G9h85xqyzoW6bgZEnsfhQd9CmQWKYqJAScuaKJaTDjKanqo,5DPqNvLRGEUFV9TdkHyVXfM4gJ9iECRhVisbfzjRzADEBSCq,4333892,2024 11 24 06 42,0.95149156939040207523,413749255,0,0.0029449912260624094,0,6927468,False,False,138549360,4313527,False,161
45,254,5F6bUfiSgUiQRGa3knpGvPgFrjv2NpYTJjPT5zKG4MeVjBcB,5H47BGonjuiTgcbmZxaLTcpkkbLSN39JLN6QBVqwdsSCzKR3,4333892,2024 11 24 06 42,0.87083237964446478981,0,0,0.00288395513847562371,0,6796942,False,False,135938840,4318850,False,0
45,95,5Dqc3V9nNecaw5W1BKK4bVaVnJrcwp7wD6PnNcpM2u8VFzkR,5DPqNvLRGEUFV9TdkHyVXfM4gJ9iECRhVisbfzjRzADEBSCq,4333892,2024 11 24 06 42,0.89671168078126192111,547747852,0,0.00288395513847562371,0,6781237,False,False,135624740,4313090,False,155
45,156,5Ejoe1fuaj2sQKgDsdBe1Sf2GCfpNyTdNV721PzDjjRwNoKk,5HZJH65Mc7o42sQfLY4Z4PDXVRW3a6sZL9fiWxgLwyZTnDfL,4333892,2024 11 24 06 42,0.66939803158617532616,555149322,0,0.00286869611657892729,0,6753964,False,False,135079280,4210435,False,144
45,228,5CfiFsPzHRyPKA1cz8fFdDU9sQ2GdzVbpiwdwdyh2pBdCk93,5FZhJ8AaHduc9uSBrxzeNDhLMBUugVcAFecdtBeE9UM2sWpw,4333892,2024 11 24 06 42,0.81895170519569695583,370432956,0,0.00279240100709544518,0,6575632,False,False,131512640,4304036,False,209
45,117,5FxgGqCa1Hcj9je1Qi7HTErHQEZHnHWrzBFJu8b9eoAf6waa,5E285c6ftMEKGYPSvsjYzjGN4EPsxVTzuPFsvgSkhtrP6Bfy,4333892,2024 11 24 06 42,0.88000305180437933928,16958815290,0,0.00274662394140535592,0,6458817,False,True,129176340,4328299,False,16
45,64,5CdPDBzJUctnyJ5XRsKc9wvVJizcMVXaqCuyzPFmeDkfE4t5,5CZqHGnvkcWA38T2jbRUw2BKX7RZBqDDPkM9BcGQ3r3YYXfT,4333892,2024 11 24 06 42,0.80296025024795910582,661002850,0,0.00262455176623178454,0,6181934,False,True,123638680,4307277,False,28
45,166,5DewjyGTWuUrEk5nXjTdqujtvgrNrBPdsMj1kYtYxM2sPBuj,5FzxaU4F8FkexYzxZsgi8TxZxZTRy2HkpazU9P9v5C8Ex62E,4333892,2024 11 24 06 42,0.83448538948653391318,552067637,0,0.00244144350347142748,0,5752974,False,False,115059480,4307276,False,149
45,184,5EhNVeWmGmSJ9ZjCmmPqLJs1rFVaXdfVMiKcJriN2kMqnZtX,5H6WcRYrkGHptLeT7qKYHYe9oHW1FHzVDLDddqrHnCgKH2Dx,4333892,2024 11 24 06 42,0.80831616693369954986,582723556,0,0.00242618448157473106,0,5710544,False,True,114210880,4220155,False,50
45,58,5C4iCpNCng3phrA741f3JYvQn8eaAbNopokZMSSXZVWZri1d,5HU1GeFHb3jhuXQwuitDhTJ3yazr5UaYYAzGWzAgdjXjRb9J,4333892,2024 11 24 06 42,0.77331197070267795834,576863826,0,0.00233463035019455253,0,5494233,False,False,109884660,4295034,False,67
45,137,5D8AWcshrbx8FjgBRWySBSZBCDPnrcdyqdDdY7yW59Y88yYN,5D2AaX28jCJ3VVs71HPgRBDwwWHEAqJLJ98KVcsC8XTAih87,4333892,2024 11 24 06 42,0.66291294728007934691,0,0,0.00120546272983901732,0,2863732,False,False,57274640,4291076,False,0
